rank,field_1,field_2,avg_weight,std_weight
1,I10,I13,0.009077832102775574,0.018455905839800835
2,C26,C1_te,0.007634527049958706,0.008685009554028511
3,I8,C20_te,0.006190081126987934,0.014514491893351078
4,I1,I8,0.005567182321101427,0.013355900533497334
5,C14,C21_freq,0.0055024027824401855,0.010655908845365047
6,I6,C21_freq,0.005095196887850761,0.011630852706730366
7,C14,I1,0.004654408432543278,0.006003371439874172
8,C11,I7,0.004432647489011288,0.01729515567421913
9,I9,I11,0.004140748176723719,0.011039071716368198
10,C22,C17_freq,0.0038205746095627546,0.004472724162042141
11,I7,C1_freq,0.003773557720705867,0.0017937303055077791
12,C12,C16,0.003365713870152831,0.007688126526772976
13,C14_freq,C14_te,0.003196106059476733,0.005737083964049816
14,C4,C20,0.0031169140711426735,0.012813949957489967
15,C6,I9,0.0031068387906998396,0.007531856652349234
16,C21,I9,0.0030626594088971615,0.006029478274285793
17,C14,C24,0.0030272461008280516,0.011348151601850986
18,C16,C25,0.0030126480851322412,0.01048948522657156
19,C4,C23,0.0029692465905100107,0.015383663587272167
20,C21,C23,0.0028861784376204014,0.010241559706628323
